SYMBOL,COMPANY_NAME,EXCHANGE,YF_TICKER
ASCOM,ASCOM LEASING & INVESTMENTS LIMITED,NSE,ASCOM.NS
ASIANHOTNR,ASIAN HOTELS (NORTH) LIMITED,NSE,ASIANHOTNR.NS
ASIANTILES,ASIAN GRANITO INDIA LIMITED,NSE,ASIANTILES.NS
ASLIND,ASL INDUSTRIES LIMITED,NSE,ASLIND.NS
ASTRON,ASTRON PAPER & BOARD MILL LIMITED,NSE,ASTRON.NS
ATALREAL,ATAL REALTECH LIMITED,NSE,ATALREAL.NS
ATLASCYCLE,ATLAS CYCLES (HARYANA) LIMITED,NSE,ATLASCYCLE.NS
AUSL,ADITYA ULTRA STEEL LIMITED,NSE,AUSL.NS
AUSOMENT,AUSOM ENTERPRISE LIMITED,NSE,AUSOMENT.NS
AVSL,AVSL INDUSTRIES LIMITED,NSE,AVSL.NS
AXISCADES,AXISCADES TECHNOLOGIES LIMITED,NSE,AXISCADES.NS
BAFNAPH,BAFNA PHARMACEUTICALS LIMITED,NSE,BAFNAPH.NS
BAJAJINDEF,INDEF MANUFACTURING LIMITED,NSE,BAJAJINDEF.NS
BAJEL,BAJEL PROJECTS LIMITED,NSE,BAJEL.NS
BALAJIPHOS,BALAJI PHOSPHATES LIMITED,NSE,BALAJIPHOS.NS
BALCO,SOLVE PLASTIC PRODUCTS LIMITED,NSE,BALCO.NS
BALUFORGE,BALU FORGE INDUSTRIES LIMITED,NSE,BALUFORGE.NS
BANKA,BANKA BIOLOO LIMITED,NSE,BANKA.NS
BARFLEX,BARFLEX POLYFILMS LIMITED,NSE,BARFLEX.NS
BASILIC,BASILIC FLY STUDIO LIMITED,NSE,BASILIC.NS
BBOX,BLACK BOX LIMITED,NSE,BBOX.NS
BCG,BRIGHTCOM GROUP LIMITED,NSE,BCG.NS
BDR,BDR BUILDCON LIMITED,NSE,BDR.NS
BESTAGRO,BEST AGROLIFE LIMITED,NSE,BESTAGRO.NS
BEWLTD,BEW ENGINEERING LIMITED,NSE,BEWLTD.NS
BGLOBAL,BHARATIYA GLOBAL INFOMEDIA LIMITED,NSE,BGLOBAL.NS
BGRENERGY,BGR ENERGY SYSTEMS LIMITED,NSE,BGRENERGY.NS
BHAGYANGR,BHAGYANAGAR INDIA LIMITED,NSE,BHAGYANGR.NS
BHARATSE,BHARAT SEATS LIMITED,NSE,BHARATSE.NS
BIKEWO,BIKEWO GREEN TECH LIMITED,NSE,BIKEWO.NS
BIOFILCHEM,BIOFIL CHEMICALS & PHARMACEUTICALS LIMITED,NSE,BIOFILCHEM.NS
BIRDYS,GRILL SPLENDOUR SERVICES LIMITED,NSE,BIRDYS.NS
BIRLACABLE,BIRLA CABLE LIMITED,NSE,BIRLACABLE.NS
BLSE,BLS E-SERVICES LIMITED,NSE,BLSE.NS
BLUECOAST,BLUE COAST HOTELS LIMITED,NSE,BLUECOAST.NS
BLUEJET,BLUE JET HEALTHCARE LIMITED,NSE,BLUEJET.NS
BOHRAIND,BOHRA INDUSTRIES LIMITED,NSE,BOHRAIND.NS
BOSS,BOSS PACKAGING SOLUTIONS LIMITED,NSE,BOSS.NS
BROOKS,BROOKS LABORATORIES LIMITED,NSE,BROOKS.NS
BULKCORP,BULKCORP INTERNATIONAL LIMITED,NSE,BULKCORP.NS
BVCL,BARAK VALLEY CEMENTS LIMITED,NSE,BVCL.NS
C2C,C2C ADVANCED SYSTEMS LIMITED,NSE,C2C.NS
CADSYS,CADSYS (INDIA) LIMITED,NSE,CADSYS.NS
CALSOFT,CALIFORNIA SOFTWARE COMPANY LIMITED,NSE,CALSOFT.NS
CALSOFTPP,CALIFORNIA SOFTWARE COMPANY LIMITED,NSE,CALSOFTPP.NS
CAMLINFINE,CAMLIN FINE SCIENCES LIMITED,NSE,CAMLINFINE.NS
CAPTRUST,CAPITAL TRUST LIMITED,NSE,CAPTRUST.NS
CBAZAAR,NET AVENUE TECHNOLOGIES LIMITED,NSE,CBAZAAR.NS
CENTRUM,CENTRUM CAPITAL LIMITED,NSE,CENTRUM.NS
CEREBRAINT,CEREBRA INTEGRATED TECHNOLOGIES LIMITED,NSE,CEREBRAINT.NS
CHANDAN,CHANDAN HEALTHCARE LIMITED,NSE,CHANDAN.NS
CINEVISTA,CINEVISTA LIMITED,NSE,CINEVISTA.NS
CLEDUCATE,CL EDUCATE LIMITED,NSE,CLEDUCATE.NS
CMICABLES,CMI LIMITED,NSE,CMICABLES.NS
CMRSL,CYBER MEDIA RESEARCH & SERVICES LIMITED,NSE,CMRSL.NS
COFFEEDAY,COFFEE DAY ENTERPRISES LIMITED,NSE,COFFEEDAY.NS
COMMITTED,COMMITTED CARGO CARE LIMITED,NSE,COMMITTED.NS
COMPINFO,COMPUAGE INFOCOM LIMITED,NSE,COMPINFO.NS
CONTI,CONTINENTAL SEEDS AND CHEMICALS LIMITED,NSE,CONTI.NS
COUNCODOS,COUNTRY CONDO'S LIMITED,NSE,COUNCODOS.NS
CPEDU,CAREER POINT EDUTECH LIMITED,NSE,CPEDU.NS
CPPLUS,ADITYA INFOTECH LIMITED,NSE,CPPLUS.NS
CPS,C P S SHAPERS LIMITED,NSE,CPS.NS
CTE,CAMBRIDGE TECHNOLOGY ENTERPRISES LIMITED,NSE,CTE.NS
CUBEXTUB,CUBEX TUBINGS LIMITED,NSE,CUBEXTUB.NS
CURAA,CURA TECHNOLOGIES LIMITED,NSE,CURAA.NS
CURRENT,CURRENT INFRAPROJECTS LIMITED,NSE,CURRENT.NS
CYBERMEDIA,CYBER MEDIA (INDIA) LIMITED,NSE,CYBERMEDIA.NS
CYBERPP,CYBER MEDIA (INDIA) LIMITED,NSE,CYBERPP.NS
DANGEE,DANGEE DUMS LIMITED,NSE,DANGEE.NS
DCAL,DISHMAN CARBOGEN AMCIS LIMITED,NSE,DCAL.NS
DCMFINSERV,DCM FINANCIAL SERVICES LIMITED,NSE,DCMFINSERV.NS
DELPHIFX,DELPHI WORLD MONEY LIMITED,NSE,DELPHIFX.NS
DELTAMAGNT,DELTA MANUFACTURING LIMITED,NSE,DELTAMAGNT.NS
DESTINY,DESTINY LOGISTICS & INFRA LIMITED,NSE,DESTINY.NS
DGCONTENT,DIGICONTENT LIMITED,NSE,DGCONTENT.NS
DHRUV,DHRUV CONSULTANCY SERVICES LIMITED,NSE,DHRUV.NS
DIGJAMLMTD,DIGJAM LIMITED,NSE,DIGJAMLMTD.NS
DIVINEHIRA,DIVINE HIRA JEWELLERS LIMITED,NSE,DIVINEHIRA.NS
DIVYADHAN,DIVYADHAN RECYCLING INDUSTRIES LIMITED,NSE,DIVYADHAN.NS
DREAMFOLKS,DREAMFOLKS SERVICES LIMITED,NSE,DREAMFOLKS.NS
DRL,DHANUKA REALTY LIMITED,NSE,DRL.NS
DRSDILIP,DRS DILIP ROADLINES LIMITED,NSE,DRSDILIP.NS
E2E,E2E NETWORKS LIMITED,NSE,E2E.NS
EASTSILK,EASTERN SILK INDUSTRIES LIMITED,NSE,EASTSILK.NS
EDUCOMP,EDUCOMP SOLUTIONS LIMITED,NSE,EDUCOMP.NS
EFFWA,EFFWA INFRA & RESEARCH LIMITED,NSE,EFFWA.NS
EIFFL,EURO INDIA FRESH FOODS LIMITED,NSE,EIFFL.NS
ELECTHERM,ELECTROTHERM (INDIA) LIMITED,NSE,ELECTHERM.NS
ELGIRUBCO,ELGI RUBBER COMPANY LIMITED,NSE,ELGIRUBCO.NS
EMAMIREAL,EMAMI REALTY LIMITED,NSE,EMAMIREAL.NS
ENERGYDEV,ENERGY DEVELOPMENT COMPANY LIMITED,NSE,ENERGYDEV.NS
ENSER,ENSER COMMUNICATIONS LIMITED,NSE,ENSER.NS
EQUIPPP,EQUIPPP SOCIAL IMPACT TECHNOLOGIES LIMITED,NSE,EQUIPPP.NS
ESCONET,ESCONET TECHNOLOGIES LIMITED,NSE,ESCONET.NS
ESFL,ESSEN SPECIALITY FILMS LIMITED,NSE,ESFL.NS
ESSARSHPNG,ESSAR SHIPPING LIMITED,NSE,ESSARSHPNG.NS
FALCONTECH,FALCON TECHNOPROJECTS INDIA LIMITED,NSE,FALCONTECH.NS
FCONSUMER,FUTURE CONSUMER LIMITED,NSE,FCONSUMER.NS
FELDVR,FUTURE ENTERPRISES LIMITED,NSE,FELDVR.NS
FLEXITUFF,FLEXITUFF VENTURES INTERNATIONAL LIMITED,NSE,FLEXITUFF.NS
FLFL,FUTURE LIFESTYLE FASHIONS LIMITED,NSE,FLFL.NS
FLYSBS,FLYSBS AVIATION LIMITED,NSE,FLYSBS.NS
FMNL,FUTURE MARKET NETWORKS LIMITED,NSE,FMNL.NS
FOCE,FOCE INDIA LIMITED,NSE,FOCE.NS
FOODSIN,FOODS & INNS LIMITED,NSE,FOODSIN.NS
FORCAS,FORCAS STUDIO LIMITED,NSE,FORCAS.NS
FORGEAUTO,FORGE AUTO INTERNATIONAL LIMITED,NSE,FORGEAUTO.NS
